Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,000,000,000
Progress (every 500,000 pairs):

  N=  49,500,000  |  same-T: 25,134,084  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  50,000,000  |  same-T: 25,392,825  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  50,500,000  |  same-T: 25,651,432  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  51,000,000  |  same-T: 25,909,829  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  51,500,000  |  same-T: 26,167,723  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  52,000,000  |  same-T: 26,422,973  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  52,500,000  |  same-T: 26,680,235  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  53,000,000  |  same-T: 26,938,717  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  53,500,000  |  same-T: 27,196,890  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  54,000,000  |  same-T: 27,454,778  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  54,500,000  |  same-T: 27,712,334  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  55,000,000  |  same-T: 27,968,729  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  55,500,000  |  same-T: 28,224,446  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  56,000,000  |  same-T: 28,483,130  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  56,500,000  |  same-T: 28,743,375  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  57,000,000  |  same-T: 28,999,679  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  57,500,000  |  same-T: 29,257,532  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  58,000,000  |  same-T: 29,515,936  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  58,500,000  |  same-T: 29,771,231  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  59,000,000  |  same-T: 30,028,847  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  59,500,000  |  same-T: 30,288,023  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  60,000,000  |  same-T: 30,547,761  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  60,500,000  |  same-T: 30,806,172  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  61,000,000  |  same-T: 31,062,776  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  61,500,000  |  same-T: 31,319,470  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  62,000,000  |  same-T: 31,577,258  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  62,500,000  |  same-T: 31,832,947  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  63,000,000  |  same-T: 32,092,857  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  63,500,000  |  same-T: 32,351,025  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  64,000,000  |  same-T: 32,609,796  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  64,500,000  |  same-T: 32,867,601  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  65,000,000  |  same-T: 33,124,061  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  65,500,000  |  same-T: 33,383,152  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  66,000,000  |  same-T: 33,638,507  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  66,500,000  |  same-T: 33,898,880  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  67,000,000  |  same-T: 34,158,915  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  67,500,000  |  same-T: 34,417,625  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  68,000,000  |  same-T: 34,676,076  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  68,500,000  |  same-T: 34,932,130  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  69,000,000  |  same-T: 35,191,452  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  69,500,000  |  same-T: 35,446,886  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  70,000,000  |  same-T: 35,706,711  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  70,500,000  |  same-T: 35,964,484  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
