N,Same-T
472500000,246577590
473000000,246840233
473500000,247107537
474000000,247368080
474500000,247632976
475000000,247897429
475500000,248160693
476000000,248433399
476500000,248699859
477000000,248966034
477500000,249228687
478000000,249492186
478500000,249751756
479000000,250012333
479500000,250278923
480000000,250543733
480500000,250802354
481000000,251066846
481500000,251333864
482000000,251599832
482500000,251862897
483000000,252126287
483500000,252390415
484000000,252652693
484500000,252916272
485000000,253176446
485500000,253437388
486000000,253699580
486500000,253964519
487000000,254223716
487500000,254489141
488000000,254753010
488500000,255024422
489000000,255291294
489500000,255553805
490000000,255816186
490500000,256077341
491000000,256343347
491500000,256602665
492000000,256864600
492500000,257122016
493000000,257387921
493500000,257648540
494000000,257908927
494500000,258172225
495000000,258442274
495500000,258709680
496000000,258977279
496500000,259241653
497000000,259502878
497500000,259767123
498000000,260033592
498500000,260298913
499000000,260558141
499500000,260820920
500000000,261084747
500500000,261351369
501000000,261615066
501500000,261887830
502000000,262152388
502500000,262421878
503000000,262686682
503500000,262952321
504000000,263212278
504500000,263474424
505000000,263738413
505500000,264008008
506000000,264268096
506500000,264529777
507000000,264794492
507500000,265062910
508000000,265323874
508500000,265593881
509000000,265858558
509500000,266124697
510000000,266386352
510500000,266650197
511000000,266910918
511500000,267169808
512000000,267434369
512500000,267699205
513000000,267958745
513500000,268221733
514000000,268488124
514500000,268760894
515000000,269024136
515500000,269285149
516000000,269547854
516500000,269811560
517000000,270072139
517500000,270335318
518000000,270596426
518500000,270854518
519000000,271117614
519500000,271382890
520000000,271642946
520500000,271903398
521000000,272166642
521500000,272437748
522000000,272704939
522500000,272971049
523000000,273236597
523500000,273499040
524000000,273762431
524500000,274027990
525000000,274289752
525500000,274550934
526000000,274811586
526500000,275076729
527000000,275336652
527500000,275600733
528000000,275865850
528500000,276138861
529000000,276403498
529500000,276674374
530000000,276938140
530500000,277203175
531000000,277464188
531500000,277729470
532000000,277992668
532500000,278262796
533000000,278522711
533500000,278786223
534000000,279050704
534500000,279317794
535000000,279579579
535500000,279852177
536000000,280119257
536500000,280385350
537000000,280650262
537500000,280911380
538000000,281172419
538500000,281435394
539000000,281694055
539500000,281961992
540000000,282225005
540500000,282484351
541000000,282748662
541500000,283013418
542000000,283285135
542500000,283546794
543000000,283809845
543500000,284073291
544000000,284336575
544500000,284599592
545000000,284863659
545500000,285121346
546000000,285387014
546500000,285643537
547000000,285912178
547500000,286173484
548000000,286432895
548500000,286698123
549000000,286961702
549500000,287234326
550000000,287502176
550500000,287766840
551000000,288031503
551500000,288293102
552000000,288555513
552500000,288821496
553000000,289081064
553500000,289343344
554000000,289601031
554500000,289866044
555000000,290127983
555500000,290392183
556000000,290652575
556500000,290918996
557000000,291186994
557500000,291457055
558000000,291724547
558500000,291989530
559000000,292251667
559500000,292514918
560000000,292782456
560500000,293045147
561000000,293313941
561500000,293572526
562000000,293835274
562500000,294100176
563000000,294366111
563500000,294628734
564000000,294899073
564500000,295170794
565000000,295438061
565500000,295708005
566000000,295969101
566500000,296233713
567000000,296494142
567500000,296755145
568000000,297019620
568500000,297288146
569000000,297552217
569500000,297811887
570000000,298076428
570500000,298339937
571000000,298609797
571500000,298871001
572000000,299139518
572500000,299403545
573000000,299669929
573500000,299933210
574000000,300196856
574500000,300457986
575000000,300721044
575500000,300978672
576000000,301243313
576500000,301509502
577000000,301769536
577500000,302030513
578000000,302298708
578500000,302567204
579000000,302835389
579500000,303101813
580000000,303364754
580500000,303627061
581000000,303889136
581500000,304151663
582000000,304416438
582500000,304675051
583000000,304939722
583500000,305195473
584000000,305462935
584500000,305725483
585000000,305987121
585500000,306245823
586000000,306509942
586500000,306781251
587000000,307046656
587500000,307316057
588000000,307581931
588500000,307846630
589000000,308108350
589500000,308372602
590000000,308639670
590500000,308901529
591000000,309167706
591500000,309424652
592000000,309688965
592500000,309953505
593000000,310218909
593500000,310479954
594000000,310747189
594500000,311022203
595000000,311285361
595500000,311556119
596000000,311824645
596500000,312087175
597000000,312349597
597500000,312612721
598000000,312876265
598500000,313140941
599000000,313412176
599500000,313672884
600000000,313937011
600500000,314201141
601000000,314463684
601500000,314732422
602000000,314994924
602500000,315268270
603000000,315533236
603500000,315798467
604000000,316064922
604500000,316325080
605000000,316589622
605500000,316849524
606000000,317110603
606500000,317372056
607000000,317640085
607500000,317902916
608000000,318162976
608500000,318424730
609000000,318693821
609500000,318962728
610000000,319229647
610500000,319493437
611000000,319756640
611500000,320019176
612000000,320282214
612500000,320544714
613000000,320809277
613500000,321069546
614000000,321333808
614500000,321592016
615000000,321852060
615500000,322122211
616000000,322384968
616500000,322644412
617000000,322909084
617500000,323172294
618000000,323446701
618500000,323713378
619000000,323980822
619500000,324244835
620000000,324508926
620500000,324771924
621000000,325035194
621500000,325302825
622000000,325563575
622500000,325827614
623000000,326083918
623500000,326346133
624000000,326613091
624500000,326872936
625000000,327139926
625500000,327400133
626000000,327667154
626500000,327939390
627000000,328205373
627500000,328477026
628000000,328742170
628500000,329006593
629000000,329269578
629500000,329533288
630000000,329800335
630500000,330063203
631000000,330334839
631500000,330595451
632000000,330857026
632500000,331122700
633000000,331384536
633500000,331654892
634000000,331917146
634500000,332186167
635000000,332459989
635500000,332725492
636000000,332992444
636500000,333257947
637000000,333519810
637500000,333781677
638000000,334043925
638500000,334305060
639000000,334568905
639500000,334837765
640000000,335103001
640500000,335361619
641000000,335624854
641500000,335892146
642000000,336159305
642500000,336425400
643000000,336688807
643500000,336955029
644000000,337218888
644500000,337483306
645000000,337749928
645500000,338011340
646000000,338275399
646500000,338534469
647000000,338801509
647500000,339057537
648000000,339323002
648500000,339589446
649000000,339851101
649500000,340110338
650000000,340377954
650500000,340642771
651000000,340919060
651500000,341184279
652000000,341450244
652500000,341714368
653000000,341977578
653500000,342240083
654000000,342500543
654500000,342766906
655000000,343029937
655500000,343291245
656000000,343553062
656500000,343809397
657000000,344077399
657500000,344341545
658000000,344601596
658500000,344864313
659000000,345125483
659500000,345389975
660000000,345662331
660500000,345929293
661000000,346199704
661500000,346465245
662000000,346730055
662500000,346992424
663000000,347254603
663500000,347522804
664000000,347789069
